METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","nearest","elipsoid",2,4,80,0,0.610025,0.000000,0.000000,0.000000
"ordinary-kriging","nearest","elipsoid",2,4,100,1,0.014366,0.000002,0.040000,0.090000
"ordinary-kriging","nearest","elipsoid",2,4,120,2,0.002109,0.000001,0.030000,0.150000
"ordinary-kriging","nearest","elipsoid",2,4,140,3,0.000570,0.000000,0.030000,0.230000
"ordinary-kriging","nearest","elipsoid",2,4,160,4,0.000034,0.000000,0.030000,0.300000
"ordinary-kriging","nearest","elipsoid",2,4,180,5,0.000020,0.000000,0.020000,0.370000
"ordinary-kriging","nearest","elipsoid",2,4,200,6,0.000008,0.000000,0.030000,0.440000
"ordinary-kriging","nearest","elipsoid",2,4,220,7,0.000001,0.000000,0.030000,0.510000
"ordinary-kriging","nearest","elipsoid",2,4,240,8,0.000000,0.000000,0.030000,0.580000
"ordinary-kriging","nearest","elipsoid",2,4,260,9,0.000000,0.000000,0.020000,0.640000
"ordinary-kriging","nearest","elipsoid",2,4,280,10,0.000000,0.000000,0.020000,0.710000
"ordinary-kriging","nearest","elipsoid",2,4,300,11,0.000000,0.000000,0.020000,0.780000
"ordinary-kriging","nearest","elipsoid",2,4,320,12,0.000000,0.000000,0.020000,0.850000
"ordinary-kriging","nearest","elipsoid",2,4,340,13,0.000000,0.000000,0.030000,0.920000
"ordinary-kriging","nearest","elipsoid",2,4,360,14,0.000000,0.000000,0.030000,0.990000
"ordinary-kriging","nearest","elipsoid",2,4,380,15,0.000000,0.000000,0.030000,1.060000
"ordinary-kriging","nearest","elipsoid",2,4,400,16,0.000000,0.000000,0.030000,1.130000
"ordinary-kriging","nearest","elipsoid",2,4,420,17,0.000000,0.000000,0.020000,1.190000
"ordinary-kriging","nearest","elipsoid",2,4,440,18,0.000000,0.000000,0.030000,1.270000
"ordinary-kriging","nearest","elipsoid",2,4,460,19,0.000000,0.000000,0.070000,1.390000
"ordinary-kriging","nearest","elipsoid",2,4,480,20,0.000000,0.000000,0.070000,1.520000
"ordinary-kriging","nearest","elipsoid",2,4,500,21,0.000000,0.000000,0.070000,1.650000
"ordinary-kriging","nearest","elipsoid",2,4,520,22,0.000000,0.000000,0.070000,1.770000
"ordinary-kriging","nearest","elipsoid",2,4,540,23,0.000000,0.000000,0.080000,1.900000
"ordinary-kriging","nearest","elipsoid",2,4,560,24,0.000000,0.000000,0.070000,2.030000
"ordinary-kriging","nearest","elipsoid",2,4,580,25,0.000000,0.000000,0.070000,2.160000
"ordinary-kriging","nearest","elipsoid",2,4,600,26,0.000000,0.000000,0.070000,2.280000
"ordinary-kriging","nearest","elipsoid",2,4,620,27,0.000000,0.000000,0.080000,2.410000
"ordinary-kriging","nearest","elipsoid",2,4,640,28,0.000000,0.000000,0.070000,2.540000
"ordinary-kriging","nearest","elipsoid",2,4,660,29,0.000000,0.000000,0.070000,2.670000
"ordinary-kriging","nearest","elipsoid",2,4,680,30,0.000000,0.000000,0.070000,2.790000
"ordinary-kriging","nearest","elipsoid",2,4,700,31,0.000000,0.000000,0.080000,2.920000
"ordinary-kriging","nearest","elipsoid",2,4,720,32,0.000000,0.000000,0.080000,3.050000
"ordinary-kriging","nearest","elipsoid",2,4,740,33,0.000000,0.000000,0.070000,3.180000
"ordinary-kriging","nearest","elipsoid",2,4,760,34,0.000000,0.000000,0.070000,3.310000
"ordinary-kriging","nearest","elipsoid",2,4,780,35,0.000000,0.000000,0.070000,3.430000
"ordinary-kriging","nearest","elipsoid",2,4,800,36,0.000000,0.000000,0.080000,3.560000
"ordinary-kriging","nearest","elipsoid",2,4,820,37,0.000000,0.000000,0.070000,3.690000
"ordinary-kriging","nearest","elipsoid",2,4,840,38,0.000000,0.000000,0.080000,3.820000
"ordinary-kriging","nearest","elipsoid",2,4,860,39,0.000000,0.000000,0.080000,3.950000
"ordinary-kriging","nearest","elipsoid",2,4,880,40,0.000000,0.000000,0.070000,4.080000
"ordinary-kriging","nearest","elipsoid",2,4,900,41,0.000000,0.000000,0.070000,4.210000
"ordinary-kriging","nearest","elipsoid",2,4,920,42,0.000000,0.000000,0.070000,4.330000
"ordinary-kriging","nearest","elipsoid",2,4,940,43,0.000000,0.000000,0.080000,4.460000
"ordinary-kriging","nearest","elipsoid",2,4,960,44,0.000000,0.000000,0.080000,4.590000
"ordinary-kriging","nearest","elipsoid",2,4,980,45,0.000000,0.000000,0.070000,4.720000
"ordinary-kriging","nearest","elipsoid",2,4,1000,46,0.000000,0.000000,0.070000,4.860000
